year,region,engAverageMark
2020,Полтавська область,146.60500352360816
2020,Львівська область,151.87167356593733
2020,Кіровоградська область,145.68538011695907
2020,Рівненська область,147.8226232394366
2020,Донецька область,141.4626119010005
2020,Дніпропетровська область,144.7807594936709
2019,м.Київ,155.56890931884664
2019,Одеська область,143.7979300147856
2019,Луганська область,139.08990825688073
2019,Полтавська область,146.25895087427145
2019,Вінницька область,144.2816091954023
2020,Херсонська область,142.90807675145024
2019,Закарпатська область,144.6187134502924
2020,Черкаська область,147.0854017669331
2020,Хмельницька область,145.90513833992094
2020,Волинська область,148.98235887096774
2020,Івано-Франківська область,150.5200823892894
2019,Херсонська область,141.55096097845077
2019,Київська область,142.94407800401493
2020,Житомирська область,144.3374074074074
2019,Дніпропетровська область,143.01909454881428
2020,Чернівецька область,149.67520117044623
2020,Харківська область,148.14274385408407
2019,Сумська область,143.71140142517814
2019,Запорізька область,142.5653166001141
2020,Сумська область,145.8170478170478
2020,Закарпатська область,146.01600753295668
2019,Тернопільська область,146.57004002287022
2020,Тернопільська область,149.9585398828301
2020,Київська область,145.96582498911624
2020,Луганська область,140.03985239852398
2019,Миколаївська область,141.52469135802468
2019,Харківська область,146.7976888293418
2020,м.Київ,155.13377926421404
2020,Запорізька область,144.5391959798995
2019,Черкаська область,144.27413127413126
2020,Вінницька область,146.28309265944645
2019,Донецька область,140.41530740276036
2020,Миколаївська область,142.39846088071826
2020,Чернігівська область,147.79261777561922
2019,Кіровоградська область,144.66349809885932
2019,Львівська область,150.25003563791876
2019,Чернівецька область,150.13958333333332
2019,Рівненська область,144.83370288248338
2019,Хмельницька область,145.46082337317398
2019,Чернігівська область,144.1514657980456
2019,Волинська область,149.53493834409866
2020,Одеська область,144.96730523627076
2019,Івано-Франківська область,147.4249775381851
2019,Житомирська область,143.7922077922078
